SCEN	TIME	AGG	RED	UPD	MAXB	AVGB	UPD_AVG	MERGE_AVG	WINDOW_CNT	PARTIAL_CNT	TOTAL_OP_TIME	TOTAL_CPU_TIME	AVG_OP_TIME	AVG_CPU_TIME	WO	W_FUNCTION
1	268	0	0	0	255	98.2	0.29411764705882354	0.16666666666666666	5	5	11	9267000	0.0	463350.0	V2	SUM	20
1	246	0	0	0	255	98.2	0.125	0.0	5	5	3	3238000	0.0	161900.0	V2	MIN	20
1	257	0	0	0	255	98.2	0.07692307692307693	0.0	4	4	1	2065000	0.0	103250.0	V2	MAX	20
1	251	0	0	0	0	NaN	0.0	0.0	0	0	0	0	0.0	0.0	V0	SUM	20
1	243	0	0	0	0	NaN	0.0	0.0	0	0	0	0	0.0	0.0	V0	MIN	20
1	251	0	0	0	0	NaN	0.0	0.0	0	0	0	0	0.0	0.0	V0	MAX	20
2	250	0	0	0	255	98.2	0.07142857142857142	0.0	7	6	9	8802000	0.0	440100.0	V2	SUM	20
2	239	0	0	0	255	98.2	0.0	0.0	6	5	3	2926000	0.0	146300.0	V2	MIN	20
2	248	0	0	0	255	98.2	0.0625	0.0	6	5	3	3472000	0.0	173600.0	V2	MAX	20
2	247	0	0	0	0	NaN	0.0	0.0	0	0	0	0	0.0	0.0	V0	SUM	20
2	243	0	0	0	0	NaN	0.0	0.0	0	0	0	0	0.0	0.0	V0	MIN	20
2	244	0	0	0	0	NaN	0.0	0.0	0	0	0	0	0.0	0.0	V0	MAX	20
